,Issued Date,Project Type,Work Classification,Project Address,Project Description,Heated Square Feet,Total Valuation,lat,long
45,3/28/23,Building - Residential,Single Family Residential,570 Calgary Downs Drive,New Construction,"2,109.00","$350,262.72 ",34.0090738,-83.6950126
46,9/5/23,Building - Commercial,Commercial,"0 Exchange Boulevard, Winder, Georgia 30620
Bldg. 12A",3-story Va multifamily building with 24 units.,"22,459.00","$3,570,756.41 ",33.9424196,-83.7429464
47,5/12/23,Building - Residential,Single Family Residential,"861 Lakeshore Drive, Winder GA 30680",Lot 4,"2,306.00","$382,980.48 ",34.0111515,-83.7209064
48,5/12/23,Building - Residential,Single Family Residential,"865 Lakeshore Drive, Winder GA 30680",Lot 3 Lakeshore Drive,"2,011.00","$333,986.88 ",34.0111515,-83.7209064
49,4/17/23,Building - Residential,Single Family Residential,407 CORINTH CHURch RD,"SINGLE FAMILY HOME, SEPTIC INSTALL","3,092.00","$513,519.36 ",33.971825,-83.712285
50,4/17/23,Building - Residential,Single Family Residential,403 CORINTH CHURCH RD,"SINGLE FAMILY HOME, SEPTIC INSTALL","2,770.00","$460,041.60 ",33.9722577,-83.7117165
51,4/17/23,Building - Residential,Single Family Residential,393 CORINTH CHURD RD,"SINGLE FAMILY HOME, SEPTIC INSTALL","3,092.00","$513,519.36 ",33.972758,-83.712362
52,3/28/23,Building - Residential,Single Family Residential,441 Banff Drive,New Construction,"2,660.00","$441,772.80 ",34.00915291,-83.69516077
53,5/12/23,Building - Residential,Single Family Residential,"216 Buena Vista Street, Winder GA 30680","Sims Road, Lot 2","2,306.00","$382,980.48 ",34.0111272,-83.719768
54,5/12/23,Building - Residential,Single Family Residential,"214 Buena Vista Street, Winder GA 30680",".29 Acre Lot, Lot 1","2,011.00","$333,986.88 ",34.0111254,-83.7197656
55,1/6/23,Building - Residential,Single Family Residential,183 Capitol Ave.,New construction of a single-family dwelling,"1,455.00","$241,646.40 ",33.988644,-83.711812
56,9/11/23,Building - Commercial,Commercial,655 Exchange Cir Suite 100 Bethlehem GA 30620,Make new restaurant. Existing grease trap,"2,920.00","$728,656.80 ",33.9423318,-83.741109
57,8/7/23,Building - Residential,Single Family Residential,269 3rd avenue,Single family residence on a very tight lot. Creek crossing,"2,126.00","$353,086.08 ",33.998765,-83.719327
58,7/10/23,Building - Commercial,Commercial,47 N Jackson Street,Renovation of an existing building for a new coffee roastery and café,"2,780.00","$631,782.80 ",33.9919493,-83.7196853
59,4/27/23,Building - Commercial,Commercial,131 Gateway Lane Winder Georgia,"Slab, plumbing, electrical, HVAC, Fire walls Metal stud framing Baths","8,400.00","$1,517,628.00 ",33.9416982,-83.7369323
60,2/23/23,Building - Commercial,Commercial,189 W Athens Street Suite 23B,washpad with canopy cover / with oil/water seperator /,0,"$88,317.00 ",33.9979484,-83.7355002
61,2/10/23,Building - Commercial,Commercial,625 Jefferson Highway,"New addition on the eastern end of existing church building. Space for religious education will be provided on lower level, with a fellowship hall/gathering space above on the main floor. This area will connect to the upper floor by way of balcony/mezzanine area open to fellowship hall. Existing children's/preschool area on the existing lower level will be renovated to expand youth small group space, and existing children's worship area will be converted for youth use. Existing youth gathering area will become additional adult small group space.","37,501.00","$9,691,008.42 ",34.0155439,-83.6914312
62,2/14/23,Building - Commercial,Commercial,82 Mcneal Rd,Renovate one unit to wholesale bakery and reserve space for tenant,"3,000.00","$493,020.00 ",33.9971585,-83.7363909
63,1/12/23,Building - Commercial,Commercial,"97 Shepherd Lane, Bethlehem, GA 30620","New construction of a quick serve restaurant with drive-thru, canopies, and refuse enclosure.","4,952.00","$878,484.80 ",33.9473928,-83.7544866
64,1/18/23,Building - Residential,Single Family Residential,291 Turtle Creek Drive,One Family Townhome,"1,841.00","$277,751.67 ",33.9771082,-83.7472684
65,3/28/23,Building - Residential,Single Family Residential,289 Turtle Creek Drive,One Family Townhome,"1,439.00","$238,989.12 ",33.977036,-83.7471241
66,3/28/23,Building - Residential,Single Family Residential,287 Turtle Creek Drive,One Family Townhome,"1,439.00","$238,989.12 ",33.977324,-83.747309
67,1/18/23,Building - Residential,Single Family Residential,285 Turtle Creek Drive,One Family Townhome,"1,841.00","$277,751.67 ",33.977392,-83.747322
68,1/18/23,Building - Residential,Single Family Residential,281 Turtle Creek Drive,One Family Townhome,"1,841.00","$277,751.67 ",33.97748,-83.747337
69,3/28/23,Building - Residential,Single Family Residential,279 Turtle Creek Drive,One Family Townhome,"1,439.00","$238,989.12 ",33.977555,-83.747351
70,3/28/23,Building - Residential,Single Family Residential,277 Turtle Creek Drive,One Family Townhome,"1,439.00","$238,989.12 ",33.977609,-83.747361
71,3/28/23,Building - Residential,Single Family Residential,275 Turtle Creek Drive,One Family Townhome,"1,439.00","$238,989.12 ",33.977663,-83.747371
72,3/16/23,Building - Residential,Single Family Residential,273 Turtle Creek Drive,One Family Townhome,"1,841.00","$277,751.67 ",33.977804,-83.747412
73,1/22/24,Building - Residential,Single Family Residential,24 Richardson St.-Unit 24E,NEW RESIDENTIAL CONSTRUCTION,"1,913.00","$317,711.04 ",33.9873493,-83.7183337
74,1/22/24,Building - Residential,Single Family Residential,24 Richardson St.-Unit 24D,NEW RESIDENTIAL CONSTRUCTION,"1,913.00","$317,711.04 ",33.9873493,-83.7183337
75,1/22/24,Building - Residential,Single Family Residential,24 Richardson St.-Unit 24C,NEW RESIDENTIAL CONSTRUCTION,"1,913.00","$320,700.48 ",33.9873493,-83.7183337
76,1/22/24,Building - Residential,Single Family Residential,24 Richardson St.-Unit 24B,NEW RESIDENTIAL CONSTRUCTION,"1,913.00","$317,711.04 ",33.9873493,-83.7183337
77,1/22/24,Building - Residential,Single Family Residential,24 Richardson St. - Unit 24A,NEW RESIDENTIAL CONSTRUCTION,"1,913.00","$317,711.04 ",33.9873493,-83.7183337
